State-County FIPS,Total Active Borrowers,Very Low Income,Low Income,Married,American Indian/Alaskan Native,Asian,Black/African American,Hawaiin Pacific Islander,White,Hispanic,Average Number of Children,Average Household Size
1001,44,12,32,15,0,0,21,0,19,0,1.1,2.6
1003,368,157,210,82,3,0,146,1,202,8,1.1,2.2
1005,124,34,91,23,0,0,108,0,12,0,1,2
1007,20,6,14,7,0,0,11,0,9,0,0.9,2
1009,85,36,49,37,0,0,8,0,75,4,0.7,2
1011,67,22,45,13,0,0,63,0,0,0,1,2.5
1013,179,81,97,35,1,0,141,0,26,0,0.9,1.9
1015,185,67,117,61,1,0,51,0,130,1,1.2,2.4
1017,109,43,64,18,0,0,85,0,19,0,0.9,2.2
1019,53,15,38,22,0,0,10,0,40,1,0.6,2.1
1021,169,59,110,55,0,1,46,1,115,5,0.8,1.9
1023,29,9,20,13,0,0,23,0,2,0,4,6
1025,67,24,42,22,0,0,46,0,10,0,0.9,2.1
1027,21,5,16,9,0,0,11,0,10,1,2.8,4.1
1029,6,4,2,2,0,0,0,0,6,0,0.5,1.5
1031,100,40,60,27,1,1,56,0,41,0,0.9,2.1
1033,84,34,50,26,1,0,42,1,41,0,1,2.2
1035,85,45,40,24,0,0,62,0,19,0,0.6,1.5
1037,8,4,4,2,0,0,7,0,0,0,,
1039,81,36,45,21,0,0,36,0,42,1,1.4,2.4
1041,56,26,29,12,0,0,34,0,18,0,0,0.5
1043,216,82,133,73,1,1,6,1,203,2,1.1,2.5
1045,252,93,160,81,2,1,99,1,138,8,0.9,2.2
1047,174,71,102,24,0,1,155,0,10,0,1.7,3
1049,135,45,89,42,3,0,9,0,122,4,1.2,2.5
1051,126,80,46,27,2,1,58,0,57,4,1.2,2.2
1053,146,69,76,28,1,0,100,0,36,0,1.1,2
1055,57,20,37,20,0,0,5,0,50,0,1.1,2.3
1057,56,20,36,13,0,0,33,0,20,0,1.6,2.8
1059,71,22,47,28,0,0,16,0,54,4,1.1,2.3
1061,59,12,46,17,0,0,18,0,39,0,1.1,2.3
1063,59,18,41,14,1,0,56,1,3,0,1.3,2.3
1065,76,28,48,25,0,0,62,0,9,1,0.8,1.9
1067,110,28,82,27,1,1,88,0,17,0,0.8,1.8
1069,203,77,125,60,0,1,101,0,99,2,1,2
1071,48,19,29,14,1,0,12,0,33,1,1.5,2.5
1073,51,27,24,16,2,0,18,0,31,0,1.1,2.5
1075,79,38,41,9,0,0,41,0,29,1,0.8,1.9
1077,146,66,80,54,1,0,15,0,128,1,0.9,2.1
1079,103,40,62,27,0,0,53,0,45,0,0.3,1.3
1081,177,82,95,39,1,1,97,0,76,3,1.4,2.6
1083,241,88,154,84,1,0,117,1,113,5,0.6,1.9
1085,199,70,129,32,0,0,183,0,2,0,0.8,1.4
1087,201,86,115,17,0,1,192,0,4,0,1.3,2.2
1089,179,89,90,62,2,1,55,0,116,3,1,2.2
1091,98,34,64,28,0,0,82,0,6,0,1.2,2.4
1093,39,16,23,13,0,0,1,0,38,1,1,2.2
1095,225,119,105,59,2,0,8,1,196,19,0.8,1.6
1097,303,96,206,90,3,0,91,0,202,1,1.4,2.6
1099,183,104,77,42,0,1,125,0,45,2,0.8,1.9
1101,63,20,43,12,0,0,53,0,7,0,0.9,1.9
